"season","week","points"
"92-93",1,0
"93-94",1,3
"94-95",1,3
"95-96",1,3
"96-97",1,1
"97-98",1,1
"98-99",1,3
"99-00",1,3
"00-01",1,3
"01-02",1,3
"02-03",1,3
"03-04",1,0
"04-05",1,1
"05-06",1,1
"06-07",1,1
"07-08",1,3
"08-09",1,3
"09-10",1,0
"10-11",1,1
"11-12",1,1
"12-13",1,0
"13-14",1,3
"14-15",1,3
"15-16",1,3
"16-17",1,3
"17-18",1,1
"18-19",1,3
"19-20",1,3
"92-93",2,3
"93-94",2,6
"94-95",2,6
"95-96",2,3
"96-97",2,4
"97-98",2,1
"98-99",2,4
"99-00",2,3
"00-01",2,3
"01-02",2,0
"02-03",2,6
"03-04",2,1
"04-05",2,4
"05-06",2,4
"06-07",2,4
"07-08",2,4
"08-09",2,6
"09-10",2,3
"10-11",2,1
"11-12",2,4
"12-13",2,1
"13-14",2,6
"14-15",2,0
"15-16",2,6
"16-17",2,3
"17-18",2,4
"18-19",2,6
"19-20",2,6
"92-93",3,3
"93-94",3,9
"94-95",3,9
"95-96",3,6
"96-97",3,5
"97-98",3,2
"98-99",3,7
"99-00",3,3
"00-01",3,4
"01-02",3,0
"02-03",3,7
"03-04",3,2
"04-05",3,4
"05-06",3,5
"06-07",3,4
"07-08",3,7
"08-09",3,7
"09-10",3,3
"10-11",3,4
"11-12",3,7
"12-13",3,1
"13-14",3,9
"14-15",3,6
"15-16",3,7
"16-17",3,4
"17-18",3,7
"18-19",3,9
"19-20",3,9
"92-93",4,4
"93-94",4,9
"94-95",4,10
"95-96",4,9
"96-97",4,8
"97-98",4,5
"98-99",4,10
"99-00",4,6
"00-01",4,7
"01-02",4,6
"02-03",4,8
"03-04",4,5
"04-05",4,7
"05-06",4,6
"06-07",4,4
"07-08",4,10
"08-09",4,10
"09-10",4,6
"10-11",4,5
"11-12",4,7
"12-13",4,2
"13-14",4,10
"14-15",4,6
"15-16",4,7
"16-17",4,7
"17-18",4,7
"18-19",4,12
"19-20",4,12
"92-93",5,5
"93-94",5,12
"94-95",5,10
"95-96",5,9
"96-97",5,11
"97-98",5,8
"98-99",5,10
"99-00",5,9
"00-01",5,10
"01-02",5,9
"02-03",5,9
"03-04",5,8
"04-05",5,7
"05-06",5,7
"06-07",5,7
"07-08",5,11
"08-09",5,11
"09-10",5,9
"10-11",5,5
"11-12",5,7
"12-13",5,2
"13-14",5,10
"14-15",5,6
