"season","position","week","points"
"13-14",6,1,3
"13-14",6,2,4
"13-14",6,3,6
"13-14",6,4,7
"13-14",6,5,9
"13-14",6,6,11
"13-14",6,7,13
"13-14",6,8,15
"13-14",6,9,18
"13-14",6,10,19
"13-14",6,11,20
"13-14",6,12,21
"13-14",6,13,23
"13-14",6,14,24
"13-14",6,15,27
"13-14",6,16,27
"13-14",6,17,30
"13-14",6,18,33
"13-14",6,19,34
"13-14",6,20,37
"13-14",6,21,40
"13-14",6,22,42
"13-14",6,23,42
"13-14",6,24,44
"13-14",6,25,45
"13-14",6,26,45
"13-14",6,27,45
"13-14",6,28,48
"13-14",6,29,48
"13-14",6,30,51
"13-14",6,31,56
"13-14",6,32,56
"13-14",6,33,59
"13-14",6,34,60
"13-14",6,35,63
"13-14",6,36,66
"13-14",6,37,66
"13-14",6,38,69
"13-14",5,1,3
"13-14",5,2,4
"13-14",5,3,6
"13-14",5,4,7
"13-14",5,5,10
"13-14",5,6,11
"13-14",5,7,13
"13-14",5,8,16
"13-14",5,9,18
"13-14",5,10,19
"13-14",5,11,20
"13-14",5,12,22
"13-14",5,13,24
"13-14",5,14,27
"13-14",5,15,28
"13-14",5,16,31
"13-14",5,17,34
"13-14",5,18,34
"13-14",5,19,36
"13-14",5,20,38
"13-14",5,21,41
"13-14",5,22,43
"13-14",5,23,43
"13-14",5,24,45
"13-14",5,25,47
"13-14",5,26,50
"13-14",5,27,50
"13-14",5,28,53
"13-14",5,29,53
"13-14",5,30,53
"13-14",5,31,57
"13-14",5,32,60
"13-14",5,33,63
"13-14",5,34,66
"13-14",5,35,69
"13-14",5,36,69
"13-14",5,37,69
"13-14",5,38,72
"13-14",4,1,3
"13-14",4,2,4
"13-14",4,3,6
"13-14",4,4,7
"13-14",4,5,10
"13-14",4,6,12
"13-14",4,7,14
"13-14",4,8,16
"13-14",4,9,19
"13-14",4,10,20
"13-14",4,11,21
"13-14",4,12,22
"13-14",4,13,24
"13-14",4,14,27
"13-14",4,15,29
"13-14",4,16,32
"13-14",4,17,34
"13-14",4,18,36
"13-14",4,19,37
"13-14",4,20,39
"13-14",4,21,42
"13-14",4,22,43
"13-14",4,23,46
"13-14",4,24,47
"13-14",4,25,50
"13-14",4,26,53
"13-14",4,27,56
"13-14",4,28,57
"13-14",4,29,57
"13-14",4,30,60
"13-14",4,31,63
"13-14",4,32,64
"13-14",4,33,64
"13-14",4,34,67
"13-14",4,35,70
